#{"t_start": 1783316199.098217, "env_id": "None"}
r,l,t
-218.420901,201,3837.856632
635.501854,239,3843.062504
-175.384885,148,3849.739342
2390.794835,65,3851.230345
2646.165029,203,3855.755756
3198.890694,201,3860.135018
101.00153,300,3866.554086
-446.214237,86,3868.480427
2470.933731,88,3870.520224
2246.21198,63,3871.95023
2360.943492,88,3873.926015
3237.263432,244,3879.961093
-486.077402,70,3881.69686
610.019449,253,3888.089809
-503.760415,2,3888.178618
-502.632947,1,3888.246241
-500.71854,2,3888.336165
-514.481167,3,3888.439499
-508.374919,4,3888.570956
-494.885213,2,3888.660365
1921.648536,87,3890.291419
-486.645575,148,3893.863401
2278.005397,229,3898.170056
-603.651998,41,3898.997075
2827.961929,259,3903.695195
3075.842954,298,3909.12669
2682.055109,169,3912.127224
2982.684845,227,3916.089634
2206.267241,60,3917.285273
2528.286406,88,3918.90733
2099.755511,214,3922.712637
2667.763265,123,3924.906535
378.401954,213,3929.214189
-680.425067,79,3930.756375
-50.559127,260,3935.351385
2177.431758,125,3937.568759
-457.293651,33,3938.236415
-491.936458,7,3938.414204
-504.358078,1,3938.474524
-531.651065,3,3938.57399
-491.808772,3,3938.674896
-500.932285,1,3938.743554
-535.993178,3,3938.838313
-507.982718,1,3938.909918
-501.23734,1,3938.984513
-523.092601,3,3939.081816
-499.440422,1,3939.145492
-487.030112,2,3939.23067
-504.863303,1,3939.304228
-500.881913,3,3939.412012
-513.665538,3,3939.512541
-503.865404,4,3939.63487
-516.973267,2,3939.720486
-538.692755,3,3939.821705
-492.633393,3,3939.925614
-488.394955,2,3940.004743
-505.516146,1,3940.074407
-499.31352,3,3940.177698
-501.154556,1,3940.24092
-515.838517,3,3940.343271
-490.947267,3,3940.44975
-508.293683,1,3940.512277
-505.291009,2,3940.604876
-483.432972,3,3940.714699
-503.336308,1,3940.790405
-479.058252,5,3940.933595
3306.466766,246,3945.239915
-667.33057,131,3947.602937
2375.498847,134,3950.080647
2640.414774,222,3953.983377
163.988433,174,3957.170107
2370.039758,156,3960.067501
2315.914248,76,3961.462145
2881.97674,257,3965.90461
1500.099964,300,3970.993158
-497.415387,103,3972.792289
2819.309096,145,3975.403977
-686.881987,101,3977.233773
2584.748198,228,3981.833975
2587.38373,149,3984.821154
-332.207966,72,3986.24941
2009.007649,157,3989.27143
-670.051616,50,3990.42239
1287.662091,300,3996.590667
2664.759841,240,4001.272612
3401.375681,277,4006.591925
2324.969284,196,4010.183373
2531.072356,184,4013.451512
2885.982069,191,4017.021831
1887.821727,194,4020.800962
2732.307343,277,4025.833635
-644.161868,50,4026.772284
-540.810058,107,4028.691861
-501.677778,1,4028.747975
-506.200544,3,4028.858328
-533.733261,5,4028.997503
-507.39855,1,4029.058145
-508.309392,2,4029.141908
-505.935914,1,4029.238219
-502.65388,4,4029.359965
-487.290652,3,4029.466226
-518.88669,4,4029.581013
-504.755355,1,4029.646666
-489.74641,6,4029.797566
-496.046143,1,4029.853968
-517.639027,3,4029.948276
-541.635041,5,4030.082909
-477.948539,3,4030.191269
-507.730438,1,4030.256951
-518.03784,3,4030.383433
-500.705915,1,4030.446013
-498.069376,1,4030.508243
-510.12263,3,4030.614396
-511.917069,4,4030.722179
-499.084287,4,4030.841821
-527.608187,3,4030.962457
-507.481674,1,4031.039646
-513.47729,3,4031.138922
-709.189789,300,4036.792534
-560.0,1,4036.866966
-488.917532,1,4036.938013
-500.779681,1,4037.019762
-501.617643,1,4037.091782
-499.170536,1,4037.158365
-484.439716,4,4037.29076
-488.119838,2,4037.389002
-509.079524,3,4037.494392
-512.190835,3,4037.605535
-492.920554,1,4037.677479
